id,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56
B01003_001E,4858979,738432,6828065,2978204,39144818,5456574,3590886,945934,672228,20271272,10214860,1431603,1654930,12859995,6619680,3123899,2911641,4425092,4670724,1329328,6006401,6794422,9922576,5489594,2992333,6083672,1032949,1896190,2890845,1330608,8958013,2085109,19795791,10042802,756928,11613423,3911338,4028977,12802503,1056298,4896146,858469,6600299,27469114,2995919,626042,8382993,7170351,1844128,5771337,586107
B01001_002E,2352810,388695,3387385,1463576,19440558,2741020,1752063,458208,319705,9891238,4975458,724635,826819,6310435,3253089,1549289,1449224,2174892,2286299,651030,2912348,3297384,4877067,2730030,1448495,2983645,519026,942589,1447456,657716,4374892,1035143,9616592,4896006,388152,5683951,1939555,1992162,6262246,511773,2385096,431540,3214689,13625413,1506383,308552,4126326,3585221,908559,2868297,295102
B01001_003E,146407,27883,219078,94916,1282484,169905,95079,28449,22126,560755,333118,46558,55420,396335,211439,98619,100159,139784,158418,32056,186793,187224,293168,181536,93965,191272,30602,66216,91243,33382,271020,69734,608138,307442,25737,351987,135977,117053,366394,28105,148118,30412,202631,1000580,127854,15328,262095,226840,50634,172242,20116
B01001_004E,161740,26777,231399,105083,1292517,183504,105834,25897,16204,579297,373844,43450,66760,423658,218504,107752,99092,142664,164406,35922,192933,188483,307566,183490,113808,195984,32316,66176,99906,35276,279420,72077,583125,325417,25734,370501,141068,121235,380917,30133,153937,32092,212051,1048890,134505,16394,265498,237103,53275,185345,18699
B01001_005E,158823,25914,235333,100588,1288636,181210,116006,31599,13429,583543,351831,44234,61759,426517,236534,102608,105202,145447,156602,39426,191787,205101,322082,183353,97311,200645,32485,68926,92588,40474,288642,71791,592975,338814,21733,383538,135902,123921,384265,30910,157904,27736,213939,1017766,132136,18433,267522,221051,53829,189708,21436
B01001_006E,98678,15522,139977,63725,790063,106186,74259,18300,8317,364062,220914,24263,37320,262257,137994,63167,62847,88691,95421,24727,117077,128790,206123,110015,64221,124384,20039,39160,56390,25676,183414,42125,374891,199908,13890,239727,81123,77500,246697,19221,101030,18070,131094,607317,74421,11589,161405,138875,33971,115591,10556
B01001_007E,67288,11287,97343,45041,543195,75535,53814,12595,10034,250286,152479,15891,22317,174474,95855,52603,44074,61282,66589,17329,77913,102112,139641,73466,49009,88361,16088,26676,34100,20550,114064,29552,265499,148066,12449,160823,58427,49840,182500,17563,73428,13818,89434,399672,44600,11665,121561,92709,25657,78534,8651
B01001_008E,36997,7908,53472,18839,300586,37086,26723,7172,6270,143476,78659,11100,10371,86814,48917,24025,24970,36332,34158,8593,43857,52873,72647,35268,21040,45189,8419,14358,17593,8684,59072,13738,143388,73977,8080,82692,30283,25132,94081,9078,36764,6788,48625,221517,21618,5119,61755,54192,13602,40675,5964
B01001_009E,37795,7159,52454,20097,299747,44914,23980,6344,7050,126712,70693,12058,9145,93472,52147,23240,24396,32450,34558,8549,41146,50900,76151,35402,24457,45692,6664,15875,18757,9977,61851,15948,142335,78340,7178,82251,28501,27241,90952,8307,37414,5333,47598,206057,25600,5801,64552,50647,12271,42295,4579
